"XTSOL";"p_model";"p_stock";"p_sorting";"p_shipping";"p_tpl";"p_manufacturer";"p_fsk18";"p_priceNoTax";"p_priceNoTax.1";"p_priceNoTax.2";"p_priceNoTax.3";"p_tax";"p_status";"p_weight";"p_ean";"p_disc";"p_opttpl";"p_vpe";"p_vpe_status";"p_vpe_value";"p_image";"p_name.ru";"p_desc.ru";"p_shortdesc.ru";"p_meta_title.ru";"p_meta_desc.ru";"p_meta_key.ru";"p_keywords.ru";"p_url.ru";"p_cat.0";"p_cat.1";"p_cat.2";"p_cat.3";"p_cat.4";"p_cat.5"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br017/1.jpg";"br017/8.jpg";;"br_main/17.jpeg";"br017";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян и ракушек</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br018/1.jpg";"br018/2.jpg";"br018/3.jpg";"br_main/18.jpeg";"br018";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из дерева</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br019/5.jpg";"br019/6.jpg";;"br_main/19.jpeg";"br019";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из дерева</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br020/2.jpg";"br020/3.jpg";;"br_main/20.jpeg";"br020";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из камня и семян</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"br021/1.jpg";"br021/3.jpg";;"br_main/21.jpeg";"br021";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из дерева</p>";;;;;;"Браслеты";
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"170.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"br022/2.jpg";"br022/5.jpg";;"br_main/22.jpeg";"br022";"<p>Браслет из натуральных материалов</p>";"<p>Изготовлен из семян</p>";;;;;;"Браслеты";
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid001/2.JPG";"vid001/3.JPG";"vid001/4.JPG";"vid_main/001.jpeg";"vid001";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid002/2.JPG";"vid002/3.JPG";"vid002/4.JPG";"vid_main/002.jpeg";"vid002";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid003/2.JPG";"vid003/3.JPG";"vid003/4.JPG";"vid_main/003.jpeg";"vid003";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"2";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid004/2.JPG";"vid004/3.JPG";;"vid_main/004.jpeg";"vid004";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid005/2.JPG";"vid005/3.JPG";"vid005/4.JPG";"vid_main/005.jpeg";"vid005";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid006/2.JPG";"vid006/3.JPG";"vid006/4.JPG";"vid_main/006.jpeg";"vid006";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"2";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"vid007/2.JPG";"vid007/3.JPG";"vid007/4.JPG";"vid_main/007.jpeg";"vid007";"<p>Серьги из стекла Мурано</p>";"<p>Серьги из стекла Мурано</p>";;;;;;"Серьги";"Стекло Мурано"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem001/1.JPG";"sem001/2.JPG";;"sem_main/sem001.jpeg";"sem001";"<p>Семена тагуа, обработанные вручную. Тагуа - это семена плодов одной из тропических пальм. Тагуа называют растительным мрамором, потому что она по многим характеритикам действительно похожа на мрамор.</p>";"<p>Семена тагуа, обработанные вручную.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";;;"sem002/3.JPG";"sem_main/sem002.jpeg";"sem002";"<p>Состав - семена, обработанные косточки фруктов, бисер, нитки. 100% ручная работа.</p>";"<p>Состав - семена, обработанные косточки фруктов, бисер, нитки. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem003/1.JPG";"sem003/2.JPG";;"sem_main/sem003.jpeg";"sem003";"<p>Состав - семена, фруктовые косточки (окрашенные), части морских ракушек (окрашенные). 100% ручная работа.</p>";"<p>Состав - семена, фруктовые косточки (окрашенные), части морских ракушек (окрашенные). 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem004/1.JPG";"sem004/2.JPG";;"sem_main/sem004.jpeg";"sem004";"<p>Состав: обработанная скорлупа от фруктовой косточки, украшенная металлическими и деревянными элементами,  морская раковина, покрытая лаком, бисер, тростниковые трубочки. 100% ручная работа.</p>";"<p>Состав: обработанная скорлупа от фруктовой косточки, украшенная металлическими и деревянными элементами,  морская раковина, покрытая лаком, бисер, тростниковые трубочки. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"260.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem005/1.JPG";"sem005/2.JPG";;"sem_main/sem005.jpeg";"sem005";"<p>Состав - семена натурального цвета, обработанные, семена и скорлупа фруктовых косточек. 100% ручная работа.</p>";"<p>Состав - семена натурального цвета, обработанные, семена и скорлупа фруктовых косточек. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem006/1.JPG";;;"sem_main/sem006.jpeg";"sem006";"<p>Состав: обработанные окрашенные семена, элементы из пластика. Собрано вручную.</p>";"<p>Состав: обработанные окрашенные семена, элементы из пластика. Собрано вручную.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem007/1.JPG";"sem007/2.JPG";"sem007/3.JPG";"sem_main/sem007.jpeg";"sem007";"<p>Обработанные и окрашенные вручную семена, металлические детали.</p>";"<p>Обработанные и окрашенные вручную семена, металлические детали.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem008/1.JPG";"sem008/2.JPG";;"sem_main/sem008.jpeg";"sem008";"<p>Состав: семена тагуа, обработанные и окрашенные. 100% ручная работа</p>";"<p>Состав: семена тагуа, обработанные и окрашенные. 100% ручная работа</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem009/1.JPG";"sem009/2.JPG";;"sem_main/sem009.jpeg";"sem009";"<p>Состав: обработанные и окрашенные семена Тагуа. 100% ручная работа</p>";"<p>Состав: обработанные и окрашенные семена Тагуа. 100% ручная работа</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem010/1.JPG";"sem010/2.JPG";"sem010/3.JPG";"sem_main/sem0010.jpeg";"sem010";"<p>Состав - обработанные и окрашенные семена и элементы морских ракушек, металлофурнитура.</p>";"<p>Состав - обработанные и окрашенные семена и элементы морских ракушек, металлофурнитура.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem011/1.JPG";"sem011/2.JPG";"sem011/3.JPG";"sem_main/sem0011.jpeg";"sem011";"<p>Состав: семена тагуа, обработанные и окрашенные. 100% ручная работа.</p>";"<p>Состав: семена тагуа, обработанные и окрашенные. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem012/1.JPG";"sem012/2.JPG";;"sem_main/sem0012.jpeg";"sem012";"<p>Состав - семена обработанные и окрашенные, металлофурнитура. 100% ручная работа.</p>";"<p>Состав - семена обработанные и окрашенные, металлофурнитура. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem013/1.JPG";;;"sem_main/sem0013.jpeg";"sem013";"<p>Рыбка выточена из косточки тагуа, обработана и окрашена. Бисер, металлофурнитура. 100% ручная работа</p>";"<p>Рыбка выточена из косточки тагуа, обработана и окрашена. Бисер, металлофурнитура. 100% ручная работа</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem014/1.JPG";"sem014/2.JPG";;"sem_main/sem0014.jpeg";"sem014";"<p>Обработанные и окрашенные семена и фруктовые косточки, металлофурнитура. 100% ручная работа.</p>";"<p>Обработанные и окрашенные семена.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem015/1.JPG";"sem015/2.JPG";;"sem_main/sem0015.jpeg";"sem015";"<p>Состав: обработанные и окрашенные семена и части фруктовых косточек, металлофурнитура. 100% ручная работа.</p>";"<p>Состав: обработанные и окрашенные семена и части фруктовых косточек, металлофурнитура. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem016/1.JPG";"sem016/2.JPG";"sem016/3.JPG";"sem_main/sem0016.jpeg";"sem016";"<p>Состав: обработанный орех тагуа натурального цвета, обработанные и окрашенные части морских ракушек, металлофурнитура. 100% ручная работа. </p>";"<p>Состав: обработанный орех тагуа натурального цвета, обработанные и окрашенные части морских ракушек, металлофурнитура. 100% ручная работа. </p>";;;;;;"Серьги";"Семена"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"200.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"sem017/1.JPG";"sem017/2.JPG";;"sem_main/sem0017.jpeg";"sem017";"<p>Состав: семена тагуа, обработанные, натурального цвета. Металлофурнитура. 100% ручная работа.</p>";"<p>Состав: семена тагуа, обработанные, натурального цвета. Металлофурнитура. 100% ручная работа.</p>";;;;;;"Серьги";"Семена"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"cach001/1.jpg";"cach001/2.jpg";"cach001/3.jpg";"cacho_main/cacho001.jpeg";"Cacho001";"<p>Серьги из обработанного рога быка. Семена, натуральный камень, металлофурнитура. 100% ручная работа</p>";"<p>Серьги из обработанного рога быка. Семена, натуральный камень, металлофурнитура. 100% ручная работа</p>";;;;;;"Серьги";"Бычий рог"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"cach002/1.jpg";"cach002/2.jpg";"cach002/3.jpg";"cacho_main/cacho002.jpeg";"Cacho002";"<p>Состав: Бычий рог, натуральный камень.</p>";"<p>Состав: Бычий рог, натуральный камень.</p>";;;;;;"Серьги";"Бычий рог"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"cach003/1.jpg";"cach003/2.jpg";;"cacho_main/cacho003.jpeg";"Cacho003";"<p>Состав: обработанный бычий рог, натуральный камень, бисер, тростниковые элементы, металл. 100% ручная работа.</p>";"<p>Состав: обработанный бычий рог, натуральный камень, бисер, тростниковые элементы, металл. 100% ручная работа.</p>";;;;;;"Серьги";"Бычий рог"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"cach004/1.jpg";"cach004/2.jpg";;"cacho_main/cacho004.jpeg";"Cacho004";"<p>Состав: обработанный бычий рог, натуральный камень, металлические элементы, бисер. 100% ручная работа.</p>";"<p>Состав: обработанный бычий рог, натуральный камень, металлические элементы, бисер. 100% ручная работа.</p>";;;;;;"Серьги";"Бычий рог"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"cach005/1.jpg";"cach005/2.jpg";"cach005/3.jpg";"cacho_main/cacho005.jpeg";"Cacho005";"<p>Состав: обработанный бычий рог, натуральный камень, металлические детали. 100% ручная работа.</p>";"<p>Состав: семена тагуа, обработанные, натурального цвета. Металлофурнитура. 100% ручная работа.</p>";;;;;;"Серьги";"Бычий рог"
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"piedra001/1.jpg";"piedra001/2.jpg";"piedra001/3.jpg";"piedra_main/piedra001.jpeg";"Piedra 001";"<p>Серьги из металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Украшены натуральными камнями. Сборка модели - вручную.</p>""";"<p>Серьги из металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Украшены натуральными камнями. Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"piedra002/1.jpg";"piedra002/2.jpg";;"piedra_main/piedra002.jpeg";"Piedra 002";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"piedra003/1.jpg";"piedra003/2.jpg";"piedra003/3.jpg";"piedra_main/piedra003.jpeg";"Piedra 003";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"piedra004/1.jpg";"piedra004/2.jpg";;"piedra_main/piedra004.jpeg";"Piedra 004";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"piedra005/1.jpg";"piedra005/2.jpg";"piedra005/3.jpg";"piedra_main/piedra005.jpeg";"Piedra 005";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"piedra006/1.jpg";"piedra006/2.jpg";"piedra006/3.jpg";"piedra_main/piedra006.jpeg";"Piedra 006";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется).</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется).</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"piedra007/1.jpg";"piedra007/2.jpg";"piedra007/3.jpg";"piedra_main/piedra007.jpeg";"Piedra 007";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется). Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"0";"0";"1";"default";"PeruArt";"0";"250.0000";;;;;"0";"0";"0.10";;"100.0000";"default";"0";"0";"0.0000";"piedra008/1.jpg";"piedra008/2.jpg";"piedra008/3.jpg";"piedra_main/piedra008.jpeg";"Piedra 008";"<p>Серьги из натурального перуанского декоративного камня и металлического  сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется).  Сборка модели - вручную.</p>""";"<p>Серьги из натурального перуанского декоративного камня и металлического  сплава альпака"" (гипоаллергенный материал, не темнеет и не окисляется).  Сборка модели - вручную.</p>""";;;;;;"Серьги";"Камень"
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"pl001/1.jpg";"pl001/2.jpg";;"pl_main/pl001.jpeg";"Pl 001";"<p>Серьги из пластика. Сборка модели - вручную.</p>";"<p>Серьги из пластика. Сборка модели - вручную.</p>";;;;;;"Серьги";"Пластик"
"XTSOL";;"0";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"0";"0.10";;"100.0000";;"0";"0";"0.0000";"pl002/1.jpg";"pl002/2.jpg";;"pl_main/pl002.jpeg";"Pl 002";"<p>Серьги из пластика. Сборка модели - вручную.</p>";"<p>Серьги из пластика. Сборка модели - вручную.</p>";;;;;;"Серьги";"Пластик"
"XTSOL";;"1";"0";"1";"default";"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";"default";"0";"0";"0.0000";"pl003/1.jpg";;;"pl_main/pl003.jpeg";"Pl 003";"<p>Серьги из пластика. Сборка модели - вручную.</p>";"<p>Серьги из пластика. Сборка модели - вручную.</p>";;;;;;"Серьги";"Пластик"
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"pl004/1.jpg";"pl004/2.jpg";"pl004/3.jpg";"pl_main/pl004.jpeg";"Pl 004";"<p>Серьги из пластика. Сборка модели - вручную.</p>";"<p>Серьги из пластика. Сборка модели - вручную.</p>";;;;;;"Серьги";"Пластик"
"XTSOL";;"1";"0";"0";;"PeruArt";"0";"150.0000";;;;;"0";"1";"0.10";;"100.0000";;"0";"0";"0.0000";"pl005/1.jpg";;;"pl_main/pl005.jpeg";"Pl 005";"<p>Серьги из пластика. Сборка модели - вручную.</p>";"<p>Серьги из пластика. Сборка модели - вручную.</p>";;;;;;"Серьги";"Пластик"
